ID,learnTime,time,mean_acc,mean_RT,mean_logRT
AmPm68ca,PM,1,0.08333333333333333,1646.1499999999999,7.312780553693597
AmPm68ca,PM,2,0.16666666666666666,943.125,6.840404633555966
AmPm6d4c,AM,1,0.125,1800.1333333333334,7.469905192488987
AmPm6d4c,AM,2,0.125,2973.3,7.826417217439869
AmPm6d4c,PM,1,0.08333333333333333,1506.8,7.317743475817886
AmPm6d4c,PM,2,0.25,2740.72,7.614263846258111
AmPm74aa,AM,1,0.75,1535.5055555555555,7.208855912953242
AmPm74aa,AM,2,0.7916666666666666,1524.6473684210525,7.210842065726497
AmPm74aa,PM,1,0.5,2631.8416666666667,7.6749444551973465
AmPm74aa,PM,2,0.7916666666666666,1398.9368421052632,7.160804885600629
AmPm7770,AM,1,0.5416666666666666,1554.123076923077,7.305298196589063
AmPm7770,AM,2,0.5833333333333334,1922.607142857143,7.368524562394792
AmPm7770,PM,1,0.18181818181818182,1569.225,7.299818023827524
AmPm7770,PM,2,0.22727272727272727,2304.375,7.635209953527973
AmPm7f5f,AM,1,0.13636363636363635,1444.4,7.265569378036427
AmPm7f5f,AM,2,0.18181818181818182,1952.75,7.3832020051048906
AmPm7f5f,PM,1,0.125,3000.866666666667,7.741212135394249
AmPm7f5f,PM,2,0.125,1122.1666666666667,7.018364304005168
AmPm82ae,AM,1,0.16666666666666666,1311.4499999999998,7.16281817328893
AmPm82ae,AM,2,0.25,1115.3333333333333,6.991242464730794
AmPm82ae,PM,1,0.3333333333333333,1535.7375,7.228836757111139
AmPm82ae,PM,2,0.25,1570.3333333333335,7.078857606836126
AmPm8693,AM,1,0.375,1772,7.381372268088184
AmPm8693,AM,2,0.375,2614.2000000000003,7.423433402780753
AmPm8693,PM,1,0.125,2315.0666666666666,7.689601475123888
AmPm8693,PM,2,0.625,1279.7066666666667,7.045289363559449
AmPm874d,AM,1,0.08333333333333333,1193.1,7.043480097197897
AmPm874d,AM,2,0.041666666666666664,3333.3,8.111718083258072
AmPm874d,PM,1,0.3333333333333333,1255.857142857143,7.076466272899593
AmPm874d,PM,2,0.5416666666666666,1374.6153846153848,7.163499645970861
AmPm89aa,AM,1,0,NA,NA
AmPm89aa,AM,2,0.041666666666666664,1619.2,7.389687479093147
AmPm89aa,PM,1,0,NA,NA
AmPm89aa,PM,2,0,NA,NA
AmPm96bc,AM,1,0.7916666666666666,2173.0105263157893,7.405024946143312
AmPm96bc,AM,2,0.8333333333333334,2049.845,7.474046154886832
AmPm96bc,PM,1,0.36363636363636365,3218.1625,7.900034732040935
AmPm96bc,PM,2,0.4090909090909091,2029.1888888888889,7.452698771014281
AmPm9d45,AM,1,0.08333333333333333,3355.15,8.09502970396242
AmPm9d45,AM,2,0.125,1426.4,7.248719268998152
AmPm9d45,PM,1,0.22727272727272727,2112.74,7.559847096478038
AmPm9d45,PM,2,0.6818181818181818,1511.0333333333333,7.235553698162016
AmPmbe42,AM,1,0.16666666666666666,2267.4333333333334,7.724323082074132
AmPmbe42,AM,2,0.20833333333333334,3024.56,7.89133554620916
AmPmbe42,PM,1,0.16666666666666666,2981.075,7.8443134518599
AmPmbe42,PM,2,0.25,1873.5166666666667,7.486668168271534
AmPmc0a3,AM,1,0,NA,NA
AmPmc0a3,AM,2,0,NA,NA
AmPmc0a3,PM,1,0.25,1444.8666666666666,7.217713306708095
AmPmc0a3,PM,2,0.5,1527.1,7.265660165357284
AmPme02f,AM,1,0.4166666666666667,2653.0125,7.5631685277148515
AmPme02f,AM,2,0.25,1306.7,7.149870351795387
AmPme02f,PM,1,0.4583333333333333,1069.9,6.967247649131875
AmPme02f,PM,2,0.5416666666666666,1075.246153846154,6.950127022998589
AmPme381,AM,2,0.16666666666666666,3496.15,7.965870487376911
AmPme381,PM,1,0.08333333333333333,4824.6,8.22020900826206
AmPme381,PM,2,0.08333333333333333,1734.5,7.388982615679593
AmPme4fc,AM,1,0.5416666666666666,2615.753846153846,7.611588599214399
AmPme4fc,AM,2,0.5416666666666666,1373.225,7.1447804680191505
AmPme4fc,PM,1,0.125,1258.2333333333333,7.1298200350511225
AmPme4fc,PM,2,0.375,1563.7222222222222,7.282598475534717
AmPmf8fb,AM,1,0.4166666666666667,1891.38,7.4419106163418505
AmPmf8fb,AM,2,0.2916666666666667,1848.4142857142856,7.403565096147043
AmPmf8fb,PM,1,0.375,2204.4777777777776,7.5947070353764605
AmPmf8fb,PM,2,0.5833333333333334,1224.1714285714286,7.066049675175159
AmPmfda0,AM,1,0,NA,NA
AmPmfda0,AM,2,0.08333333333333333,3423.9,7.945886525911044
AmPmfda0,PM,1,0.041666666666666664,NA,NA
AmPmfda0,PM,2,0.16666666666666666,1210,7.059452036319285
AmPmffd2,AM,1,0.20833333333333334,2458.6,7.789382332219869
AmPmffd2,AM,2,0.2916666666666667,2547.857142857143,7.6842614413895935
AmPmffd2,PM,1,0.25,3899.06,8.115368836961293
AmPmffd2,PM,2,0.20833333333333334,1422.6599999999999,7.196722054792498
